gene,accession,entry_name,Protein Names,UniProt URL
APOE,P02649,APOE_HUMAN,Apolipoprotein E,https://www.uniprot.org/uniprot/P02649
APOE,A0A0S2Z3D5,A0A0S2Z3D5_HUMAN,Apolipoprotein E,https://www.uniprot.org/uniprot/A0A0S2Z3D5
APOE,E7ERP7,E7ERP7_HUMAN,Apolipoprotein E,https://www.uniprot.org/uniprot/E7ERP7
APOE,H0Y7L5,H0Y7L5_HUMAN,Apolipoprotein E,https://www.uniprot.org/uniprot/H0Y7L5
APOE,J9ZVQ3,J9ZVQ3_HUMAN,Apolipoprotein E,https://www.uniprot.org/uniprot/J9ZVQ3
APOE,D9ZB55,D9ZB55_HUMAN,Apolipoprotein E,https://www.uniprot.org/uniprot/D9ZB55
APOE,A0A346DBY2,A0A346DBY2_HUMAN,Apolipoprotein E,https://www.uniprot.org/uniprot/A0A346DBY2
APOE,E9PEV4,E9PEV4_HUMAN,Apolipoprotein E,https://www.uniprot.org/uniprot/E9PEV4
APOE,A0A0S2Z3B1,A0A0S2Z3B1_HUMAN,N/A,https://www.uniprot.org/uniprot/A0A0S2Z3B1
APOE,A0A0S2Z3J5,A0A0S2Z3J5_HUMAN,N/A,https://www.uniprot.org/uniprot/A0A0S2Z3J5
APOE,Q8TCZ8,Q8TCZ8_HUMAN,N/A,https://www.uniprot.org/uniprot/Q8TCZ8
APOE,A0A0S2Z3V0,A0A0S2Z3V0_HUMAN,N/A,https://www.uniprot.org/uniprot/A0A0S2Z3V0
